Unnamed: 0,innode,outnode,etype,dataflow,id_x,line_out,id_y,line_in,graph_id
384606,339,204.0,CFG,,37,20.0,38,20.0,5398
384607,54,52.0,CFG,,191,42.0,198,42.0,5398
384608,269,21.0,CFG,,237,52.0,249,54.0,5398
384609,253,6.0,CFG,,50,24.0,84,29.0,5398
384610,272,273.0,CFG,,234,51.0,235,51.0,5398
384611,268,55.0,CFG,,246,54.0,257,54.0,5398
384612,197,287.0,CFG,,209,45.0,210,45.0,5398
384613,266,59.0,CFG,,176,40.0,186,40.0,5398
384614,236,22.0,CFG,,122,36.0,140,37.0,5398
384615,303,106.0,CFG,,167,39.0,172,39.0,5398
384616,205,296.0,CFG,,45,22.0,47,22.0,5398
384617,113,272.0,CFG,,235,51.0,236,51.0,5398
384618,251,294.0,CFG,,75,27.0,78,27.0,5398
384619,296,117.0,CFG,,39,21.0,45,22.0,5398
384620,227,15.0,CFG,,337,65.0,355,67.0,5398
384621,299,98.0,CFG,,184,40.0,189,40.0,5398
384622,305,12.0,CFG,,52,24.0,68,26.0,5398
384623,198,110.0,CFG,,328,65.0,333,65.0,5398
384624,279,18.0,CFG,,245,54.0,268,55.0,5398
384625,232,23.0,CFG,,105,34.0,123,36.0,5398
384626,298,116.0,CFG,,44,22.0,54,24.0,5398
384627,293,118.0,CFG,,34,20.0,40,21.0,5398
384628,208,176.0,CFG,,25,17.0,27,17.0,5398
384629,317,102.0,CFG,,312,63.0,317,63.0,5398
384630,231,236.0,CFG,,140,37.0,145,37.0,5398
384631,47,119.0,CFG,,83,29.0,86,29.0,5398
384632,307,87.0,CFG,,150,37.0,155,37.0,5398
384633,316,85.0,CFG,,339,65.0,344,65.0,5398
384634,283,114.0,CFG,,200,44.0,203,44.0,5398
384635,291,297.0,CFG,,221,49.0,223,49.0,5398
384636,248,298.0,CFG,,54,24.0,57,24.0,5398
384637,267,305.0,CFG,,68,26.0,71,26.0,5398
384638,320,100.0,CFG,,319,64.0,324,64.0,5398
384639,255,254.0,CFG,,89,33.0,94,33.0,5398
384640,262,261.0,CFG,,106,34.0,111,34.0,5398
384641,337,75.0,CFG,,254,54.0,262,54.0,5398
384642,178,96.0,CFG,,266,55.0,271,55.0,5398
384643,333,13.0,CFG,,217,49.0,231,51.0,5398
384644,289,45.0,CFG,,212,47.0,218,49.0,5398
384645,114,20.0,CFG,,190,42.0,200,44.0,5398
384646,111,270.0,CFG,,243,52.0,244,52.0,5398
384647,331,5.0,CFG,,294,61.0,325,64.0,5398
384648,215,60.0,CFG,,338,65.0,348,66.0,5398
384649,261,25.0,CFG,,88,33.0,106,34.0,5398
384650,199,278.0,CFG,,227,49.0,228,49.0,5398
384651,324,97.0,CFG,,298,61.0,303,61.0,5398
384652,327,4.0,CFG,,335,65.0,366,68.0,5398
384653,311,88.0,CFG,,116,34.0,121,34.0,5398
384654,200,322.0,CFG,,30,19.0,32,19.0,5398
384655,304,84.0,CFG,,160,39.0,165,39.0,5398
384656,297,289.0,CFG,,218,49.0,221,49.0,5398
384657,325,104.0,CFG,,346,66.0,351,66.0,5398
384658,176,46.0,CFG,,7,1.0,25,17.0,5398
384659,270,271.0,CFG,,242,52.0,243,52.0,5398
384660,315,99.0,CFG,,92,33.0,97,33.0,5398
384661,202,56.0,CFG,,213,47.0,215,47.0,5398
384662,145,36.0,CFG,,82,29.0,87,30.0,5398
384663,286,37.0,CFG,,202,44.0,208,45.0,5398
384664,229,1.0,CFG,,285,61.0,330,65.0,5398
384665,259,61.0,CFG,,91,33.0,101,33.0,5398
384666,271,230.0,CFG,,238,52.0,242,52.0,5398
384667,217,53.0,CFG,,286,61.0,300,61.0,5398
384668,326,208.0,CFG,,27,17.0,28,17.0,5398
384669,196,201.0,CFG,,222,49.0,224,49.0,5398
384670,209,8.0,CFG,,336,65.0,362,68.0,5398
384671,223,73.0,CFG,,297,61.0,307,62.0,5398
384672,221,14.0,CFG,,296,61.0,314,63.0,5398
384673,166,86.0,CFG,,192,42.0,197,42.0,5398
384674,284,283.0,CFG,,203,44.0,205,44.0,5398
384675,302,26.0,CFG,,156,39.0,174,40.0,5398
384676,312,109.0,CFG,,109,34.0,114,34.0,5398
384677,294,9.0,CFG,,51,24.0,75,27.0,5398
384678,301,101.0,CFG,,177,40.0,182,40.0,5398
384679,169,107.0,CFG,,247,54.0,252,54.0,5398
384680,210,45.0,CFG,,212,47.0,289,61.0,5398
384681,295,108.0,CFG,,255,54.0,260,54.0,5398
384682,219,51.0,CFG,,327,65.0,341,65.0,5398
384683,184,93.0,CFG,,287,61.0,292,61.0,5398
384684,203,293.0,CFG,,40,21.0,42,21.0,5398
384685,265,58.0,CFG,,108,34.0,118,34.0,5398
384686,112,10.0,CFG,,199,44.0,214,47.0,5398
384687,332,205.0,CFG,,47,22.0,48,22.0,5398
384688,211,7.0,CFG,,295,61.0,321,64.0,5398
384689,245,302.0,CFG,,174,40.0,179,40.0,5398
384690,273,277.0,CFG,,230,51.0,234,51.0,5398
384691,323,105.0,CFG,,305,62.0,310,62.0,5398
384692,314,91.0,CFG,,274,55.0,279,55.0,5398
384693,258,300.0,CFG,,61,25.0,64,25.0,5398
384694,321,89.0,CFG,,353,67.0,358,67.0,5398
384695,300,41.0,CFG,,53,24.0,61,25.0,5398
384696,338,203.0,CFG,,42,21.0,43,21.0,5398
384697,310,94.0,CFG,,126,36.0,131,36.0,5398
384698,240,306.0,CFG,,157,39.0,162,39.0,5398
384699,254,6.0,CFG,,50,24.0,89,33.0,5398
384700,281,50.0,CFG,,265,55.0,276,55.0,5398
384701,309,92.0,CFG,,133,36.0,138,36.0,5398
384702,313,103.0,CFG,,99,33.0,104,33.0,5398
384703,194,207.0,CFG,,204,44.0,206,44.0,5398
384704,322,83.0,CFG,,24,17.0,30,19.0,5398
384705,206,145.0,CFG,,87,30.0,367,1.0,5398
384706,206,17.0,CFG,,264,55.0,367,1.0,5398
384707,206,0.0,CFG,,326,65.0,367,1.0,5398
384708,83,137.0,CFG,,26,17.0,24,17.0,5398
384709,115,138.0,CFG,,31,19.0,29,19.0,5398
384710,118,141.0,CFG,,36,20.0,34,20.0,5398
384711,117,143.0,CFG,,41,21.0,39,21.0,5398
384712,116,134.0,CFG,,46,22.0,44,22.0,5398
384713,25,31.0,CFG,,90,33.0,88,33.0,5398
384714,23,30.0,CFG,,107,34.0,105,34.0,5398
384715,22,35.0,CFG,,124,36.0,122,36.0,5398
384716,24,34.0,CFG,,141,37.0,139,37.0,5398
384717,26,33.0,CFG,,158,39.0,156,39.0,5398
384718,27,32.0,CFG,,175,40.0,173,40.0,5398
384719,20,54.0,CFG,,198,42.0,190,42.0,5398
384720,10,11.0,CFG,,201,44.0,199,44.0,5398
384721,137,326.0,CFG,,28,17.0,26,17.0,5398
384722,138,328.0,CFG,,33,19.0,31,19.0,5398
384723,141,339.0,CFG,,38,20.0,36,20.0,5398
384724,143,338.0,CFG,,43,21.0,41,21.0,5398
384725,134,332.0,CFG,,48,22.0,46,22.0,5398
384726,6,9.0,CFG,,51,24.0,50,24.0,5398
384727,6,43.0,CFG,,74,27.0,50,24.0,5398
384728,9,12.0,CFG,,52,24.0,51,24.0,5398
384729,9,44.0,CFG,,67,26.0,51,24.0,5398
384730,43,82.0,CFG,,76,27.0,74,27.0,5398
384731,106,191.0,CFG,,171,39.0,167,39.0,5398
384732,164,147.0,CFG,,185,40.0,188,40.0,5398
384733,170,155.0,CFG,,117,34.0,120,34.0,5398
384734,235,234.0,CFG,,135,36.0,136,36.0,5398
384735,86,167.0,CFG,,196,42.0,192,42.0,5398
384736,173,153.0,CFG,,151,37.0,154,37.0,5398
384737,237,231.0,CFG,,145,37.0,146,37.0,5398
384738,156,241.0,CFG,,163,39.0,161,39.0,5398
384739,241,240.0,CFG,,162,39.0,163,39.0,5398
384740,260,259.0,CFG,,101,33.0,102,33.0,5398
384741,167,131.0,CFG,,193,42.0,196,42.0,5398
384742,87,173.0,CFG,,154,37.0,150,37.0,5398
384743,256,255.0,CFG,,94,33.0,95,33.0,5398
384744,56,112.0,CFG,,214,47.0,213,47.0,5398
384745,158,243.0,CFG,,170,39.0,168,39.0,5398
384746,207,284.0,CFG,,205,44.0,204,44.0,5398
384747,243,242.0,CFG,,169,39.0,170,39.0,5398
384748,263,262.0,CFG,,111,34.0,112,34.0,5398
384749,233,247.0,CFG,,128,36.0,129,36.0,5398
384750,149,235.0,CFG,,136,36.0,134,36.0,5398
384751,162,148.0,CFG,,178,40.0,181,40.0,5398
384752,161,256.0,CFG,,95,33.0,93,33.0,5398
384753,282,275.0,CFG,,194,42.0,195,42.0,5398
384754,98,164.0,CFG,,188,40.0,184,40.0,5398
384755,159,260.0,CFG,,102,33.0,100,33.0,5398
384756,151,233.0,CFG,,129,36.0,127,36.0,5398
384757,37,194.0,CFG,,206,44.0,202,44.0,5398
384758,11,38.0,CFG,,207,45.0,201,44.0,5398
384759,246,245.0,CFG,,179,40.0,180,40.0,5398
384760,58,312.0,CFG,,114,34.0,108,34.0,5398
384761,33,70.0,CFG,,166,39.0,158,39.0,5398
384762,84,163.0,CFG,,164,39.0,160,39.0,5398
384763,34,65.0,CFG,,149,37.0,141,37.0,5398
384764,88,170.0,CFG,,120,34.0,116,34.0,5398
384765,63,304.0,CFG,,165,39.0,159,39.0,5398
384766,59,301.0,CFG,,182,40.0,176,40.0,5398
384767,101,162.0,CFG,,181,40.0,177,40.0,5398
384768,179,150.0,CFG,,144,37.0,147,37.0,5398
384769,155,250.0,CFG,,119,34.0,117,34.0,5398
384770,109,165.0,CFG,,113,34.0,109,34.0,5398
384771,92,188.0,CFG,,137,36.0,133,36.0,5398
384772,30,62.0,CFG,,115,34.0,107,34.0,5398
384773,62,311.0,CFG,,121,34.0,115,34.0,5398
384774,193,161.0,CFG,,93,33.0,96,33.0,5398
384775,71,313.0,CFG,,104,33.0,98,33.0,5398
384776,165,160.0,CFG,,110,34.0,113,34.0,5398
384777,186,253.0,CFG,,84,29.0,85,29.0,5398
384778,148,246.0,CFG,,180,40.0,178,40.0,5398
384779,65,307.0,CFG,,155,37.0,149,37.0,5398
384780,175,159.0,CFG,,100,33.0,103,33.0,5398
384781,69,309.0,CFG,,138,36.0,132,36.0,5398
384782,147,249.0,CFG,,187,40.0,185,40.0,5398
384783,153,239.0,CFG,,153,37.0,151,37.0,5398
384784,250,265.0,CFG,,118,34.0,119,34.0,5398
384785,99,193.0,CFG,,96,33.0,92,33.0,5398
384786,239,238.0,CFG,,152,37.0,153,37.0,5398
384787,150,237.0,CFG,,146,37.0,144,37.0,5398
384788,61,315.0,CFG,,97,33.0,91,33.0,5398
384789,52,166.0,CFG,,197,42.0,191,42.0,5398
384790,249,266.0,CFG,,186,40.0,187,40.0,5398
384791,31,71.0,CFG,,98,33.0,90,33.0,5398
384792,188,149.0,CFG,,134,36.0,137,36.0,5398
384793,38,197.0,CFG,,210,45.0,207,45.0,5398
384794,45,202.0,CFG,,215,47.0,212,47.0,5398
384795,181,151.0,CFG,,127,36.0,130,36.0,5398
384796,163,156.0,CFG,,161,39.0,164,39.0,5398
384797,191,158.0,CFG,,168,39.0,171,39.0,5398
384798,67,299.0,CFG,,189,40.0,183,40.0,5398
384799,103,175.0,CFG,,103,33.0,99,33.0,5398
384800,131,282.0,CFG,,195,42.0,193,42.0,5398
384801,70,303.0,CFG,,172,39.0,166,39.0,5398
384802,68,308.0,CFG,,148,37.0,142,37.0,5398
384803,36,47.0,CFG,,86,29.0,82,29.0,5398
384804,90,179.0,CFG,,147,37.0,143,37.0,5398
384805,94,181.0,CFG,,130,36.0,126,36.0,5398
384806,119,186.0,CFG,,85,29.0,83,29.0,5398
384807,160,263.0,CFG,,112,34.0,110,34.0,5398
384808,32,67.0,CFG,,183,40.0,175,40.0,5398
384809,35,69.0,CFG,,132,36.0,124,36.0,5398
384810,64,310.0,CFG,,131,36.0,125,36.0,5398
384811,12,41.0,CFG,,53,24.0,52,24.0,5398
384812,12,42.0,CFG,,60,25.0,52,24.0,5398
384813,44,80.0,CFG,,69,26.0,67,26.0,5398
384814,82,120.0,CFG,,80,27.0,76,27.0,5398
384815,120,130.0,CFG,,77,27.0,80,27.0,5398
384816,130,252.0,CFG,,79,27.0,77,27.0,5398
384817,252,251.0,CFG,,78,27.0,79,27.0,5398
384818,41,81.0,CFG,,55,24.0,53,24.0,5398
384819,42,79.0,CFG,,62,25.0,60,25.0,5398
384820,127,244.0,CFG,,72,26.0,70,26.0,5398
384821,244,267.0,CFG,,71,26.0,72,26.0,5398
384822,124,127.0,CFG,,70,26.0,73,26.0,5398
384823,80,124.0,CFG,,73,26.0,69,26.0,5398
384824,81,121.0,CFG,,59,24.0,55,24.0,5398
384825,123,128.0,CFG,,63,25.0,66,25.0,5398
384826,257,258.0,CFG,,64,25.0,65,25.0,5398
384827,128,257.0,CFG,,65,25.0,63,25.0,5398
384828,79,123.0,CFG,,66,25.0,62,25.0,5398
384829,133,264.0,CFG,,58,24.0,56,24.0,5398
384830,121,133.0,CFG,,56,24.0,59,24.0,5398
384831,129,222.0,CFG,,315,63.0,313,63.0,5398
384832,152,225.0,CFG,,356,67.0,354,67.0,5398
384833,264,248.0,CFG,,57,24.0,58,24.0,5398
384834,139,228.0,CFG,,301,61.0,299,61.0,5398
384835,126,216.0,CFG,,322,64.0,320,64.0,5398
384836,157,226.0,CFG,,363,68.0,361,68.0,5398
384837,135,290.0,CFG,,277,55.0,275,55.0,5398
384838,154,212.0,CFG,,342,65.0,340,65.0,5398
384839,140,274.0,CFG,,258,54.0,256,54.0,5398
384840,125,214.0,CFG,,349,66.0,347,66.0,5398
384841,132,220.0,CFG,,308,62.0,306,62.0,5398
384842,102,192.0,CFG,,316,63.0,312,63.0,5398
384843,89,174.0,CFG,,357,67.0,353,67.0,5398
384844,105,187.0,CFG,,309,62.0,305,62.0,5398
384845,108,172.0,CFG,,259,54.0,255,54.0,5398
384846,97,171.0,CFG,,302,61.0,298,61.0,5398
384847,78,323.0,CFG,,310,62.0,304,62.0,5398
384848,72,325.0,CFG,,351,66.0,345,66.0,5398
384849,85,180.0,CFG,,343,65.0,339,65.0,5398
384850,91,182.0,CFG,,278,55.0,274,55.0,5398
384851,104,183.0,CFG,,350,66.0,346,66.0,5398
384852,76,317.0,CFG,,317,63.0,311,63.0,5398
384853,73,324.0,CFG,,303,61.0,297,61.0,5398
384854,75,295.0,CFG,,260,54.0,254,54.0,5398
384855,66,321.0,CFG,,358,67.0,352,67.0,5398
384856,60,316.0,CFG,,344,65.0,338,65.0,5398
384857,77,314.0,CFG,,279,55.0,273,55.0,5398
384858,277,334.0,CFG,,232,51.0,230,51.0,5398
384859,2,327.0,CFG,,366,68.0,334,65.0,5398
384860,336,335.0,CFG,,239,52.0,240,52.0,5398
384861,48,285.0,CFG,,280,55.0,272,55.0,5398
384862,213,210.0,CFG,,289,61.0,290,61.0,5398
384863,220,223.0,CFG,,307,62.0,308,62.0,5398
384864,0,2.0,CFG,,334,65.0,326,65.0,5398
384865,216,211.0,CFG,,321,64.0,322,64.0,5398
384866,225,227.0,CFG,,355,67.0,356,67.0,5398
384867,17,48.0,CFG,,272,55.0,264,55.0,5398
384868,107,168.0,CFG,,251,54.0,247,54.0,5398
384869,171,139.0,CFG,,299,61.0,302,61.0,5398
384870,230,336.0,CFG,,240,52.0,238,52.0,5398
384871,214,215.0,CFG,,348,66.0,349,66.0,5398
384872,8,66.0,CFG,,352,67.0,336,65.0,5398
384873,146,213.0,CFG,,290,61.0,288,61.0,5398
384874,274,268.0,CFG,,257,54.0,258,54.0,5398
384875,222,221.0,CFG,,314,63.0,315,63.0,5398
384876,14,78.0,CFG,,304,62.0,296,61.0,5398
384877,144,224.0,CFG,,331,65.0,329,65.0,5398
384878,13,16.0,CFG,,219,49.0,217,49.0,5398
384879,195,157.0,CFG,,361,68.0,364,68.0,5398
384880,21,28.0,CFG,,241,52.0,237,52.0,5398
384881,49,276.0,CFG,,261,54.0,253,54.0,5398
384882,110,190.0,CFG,,332,65.0,328,65.0,5398
384883,174,152.0,CFG,,354,67.0,357,67.0,5398
384884,182,135.0,CFG,,275,55.0,278,55.0,5398
384885,189,126.0,CFG,,320,64.0,323,64.0,5398
384886,19,29.0,CFG,,233,51.0,229,51.0,5398
384887,28,111.0,CFG,,244,52.0,241,52.0,5398
384888,95,195.0,CFG,,364,68.0,360,68.0,5398
384889,4,57.0,CFG,,359,68.0,335,65.0,5398
384890,280,279.0,CFG,,268,55.0,269,55.0,5398
384891,201,291.0,CFG,,223,49.0,222,49.0,5398
384892,192,129.0,CFG,,313,63.0,316,63.0,5398
384893,212,219.0,CFG,,341,65.0,342,65.0,5398
384894,100,189.0,CFG,,323,64.0,319,64.0,5398
384895,329,330.0,CFG,,281,55.0,282,55.0,5398
384896,40,199.0,CFG,,228,49.0,225,49.0,5398
384897,334,333.0,CFG,,231,51.0,232,51.0,5398
384898,276,340.0,CFG,,263,54.0,261,54.0,5398
384899,18,49.0,CFG,,253,54.0,245,54.0,5398
384900,15,72.0,CFG,,345,66.0,337,65.0,5398
384901,185,146.0,CFG,,288,61.0,291,61.0,5398
384902,187,132.0,CFG,,306,62.0,309,62.0,5398
384903,228,217.0,CFG,,300,61.0,301,61.0,5398
384904,190,144.0,CFG,,329,65.0,332,65.0,5398
384905,1,3.0,CFG,,293,61.0,285,61.0,5398
384906,172,140.0,CFG,,256,54.0,259,54.0,5398
384907,55,169.0,CFG,,252,54.0,246,54.0,5398
384908,3,331.0,CFG,,325,64.0,293,61.0,5398
384909,136,280.0,CFG,,269,55.0,267,55.0,5398
384910,74,320.0,CFG,,324,64.0,318,64.0,5398
384911,285,329.0,CFG,,282,55.0,280,55.0,5398
384912,180,154.0,CFG,,340,65.0,343,65.0,5398
384913,29,113.0,CFG,,236,51.0,233,51.0,5398
384914,50,178.0,CFG,,271,55.0,265,55.0,5398
384915,57,318.0,CFG,,365,68.0,359,68.0,5398
384916,53,184.0,CFG,,292,61.0,286,61.0,5398
384917,51,198.0,CFG,,333,65.0,327,65.0,5398
384918,7,76.0,CFG,,311,63.0,295,61.0,5398
384919,290,281.0,CFG,,276,55.0,277,55.0,5398
384920,93,185.0,CFG,,291,61.0,287,61.0,5398
384921,5,74.0,CFG,,318,64.0,294,61.0,5398
384922,177,136.0,CFG,,267,55.0,270,55.0,5398
384923,168,142.0,CFG,,248,54.0,251,54.0,5398
384924,224,229.0,CFG,,330,65.0,331,65.0,5398
384925,39,196.0,CFG,,224,49.0,220,49.0,5398
384926,340,337.0,CFG,,262,54.0,263,54.0,5398
384927,183,125.0,CFG,,347,66.0,350,66.0,5398
384928,142,288.0,CFG,,250,54.0,248,54.0,5398
384929,226,209.0,CFG,,362,68.0,363,68.0,5398
384930,288,269.0,CFG,,249,54.0,250,54.0,5398
384931,96,177.0,CFG,,270,55.0,266,55.0,5398
384932,16,40.0,CFG,,225,49.0,219,49.0,5398
970078,4,2.0,CFG,,5,1.0,17,,12039
970079,7,0.0,CFG,,7,1.0,13,3.0,12039
970080,6,7.0,CFG,,13,3.0,14,3.0,12039
970081,5,1.0,CFG,,11,3.0,15,1.0,12039
970082,1,3.0,CFG,,12,3.0,11,3.0,12039
970083,3,6.0,CFG,,14,3.0,12,3.0,12039
1018552,66,42.0,CFG,,5,1.0,139,,12645
1018553,93,113.0,CFG,,74,14.0,75,14.0,12645
1018554,112,4.0,CFG,,21,9.0,42,10.0,12645
1018555,112,5.0,CFG,,31,9.0,42,10.0,12645
1018556,113,76.0,CFG,,72,14.0,74,14.0,12645
1018557,110,58.0,CFG,,41,10.0,46,10.0,12645
1018558,110,73.0,CFG,,53,10.0,46,10.0,12645
1018559,50,59.0,CFG,,32,9.0,35,9.0,12645
1018560,99,100.0,CFG,,89,19.0,90,19.0,12645
1018561,105,68.0,CFG,,128,32.0,130,32.0,12645
1018562,33,35.0,CFG,,16,5.0,17,5.0,12645
1018563,68,26.0,CFG,,124,32.0,128,32.0,12645
1018564,83,28.0,CFG,,110,29.0,112,29.0,12645
1018565,104,54.0,CFG,,125,32.0,126,32.0,12645
1018566,51,19.0,CFG,,34,9.0,38,9.0,12645
1018567,46,36.0,CFG,,86,19.0,92,19.0,12645
1018568,62,110.0,CFG,,46,10.0,47,10.0,12645
1018569,34,11.0,CFG,,44,10.0,78,16.0,12645
1018570,35,1.0,CFG,,7,1.0,16,5.0,12645
1018571,87,74.0,CFG,,66,13.0,68,13.0,12645
1018572,98,57.0,CFG,,115,31.0,119,31.0,12645
1018573,98,71.0,CFG,,121,31.0,119,31.0,12645
1018574,31,41.0,CFG,,118,31.0,133,33.0,12645
1018575,49,10.0,CFG,,85,19.0,96,20.0,12645
1018576,107,20.0,CFG,,70,14.0,54,10.0,12645
1018577,103,9.0,CFG,,123,32.0,122,31.0,12645
1018578,82,11.0,CFG,,44,10.0,57,12.0,12645
1018579,96,34.0,CFG,,78,16.0,79,16.0,12645
1018580,64,95.0,CFG,,82,17.0,83,17.0,12645
1018581,61,14.0,CFG,,15,5.0,23,9.0,12645
1018582,29,85.0,CFG,,104,29.0,106,29.0,12645
1018583,54,41.0,CFG,,118,31.0,125,32.0,12645
1018584,60,98.0,CFG,,119,31.0,120,31.0,12645
1018585,37,31.0,CFG,,133,33.0,134,33.0,12645
1018586,48,56.0,CFG,,22,9.0,26,9.0,12645
1018587,91,86.0,CFG,,108,29.0,109,29.0,12645
1018588,59,4.0,CFG,,21,9.0,32,9.0,12645
1018589,101,89.0,CFG,,116,31.0,117,31.0,12645
1018590,69,13.0,CFG,,132,33.0,136,35.0,12645
1018591,79,44.0,CFG,,45,10.0,49,10.0,12645
1018592,97,46.0,CFG,,92,19.0,93,19.0,12645
1018593,81,32.0,CFG,,81,17.0,87,19.0,12645
1018594,86,29.0,CFG,,106,29.0,108,29.0,12645
1018595,53,82.0,CFG,,57,12.0,59,12.0,12645
1018596,28,55.0,CFG,,107,29.0,110,29.0,12645
1018597,74,24.0,CFG,,62,13.0,66,13.0,12645
1018598,89,2.0,CFG,,103,29.0,116,31.0,12645
1018599,47,18.0,CFG,,25,9.0,29,9.0,12645
1018600,94,49.0,CFG,,96,20.0,98,20.0,12645
1018601,80,38.0,CFG,,71,14.0,76,14.0,12645
1018602,108,109.0,CFG,,51,10.0,52,10.0,12645
1018603,52,16.0,CFG,,56,12.0,63,13.0,12645
1018604,63,22.0,CFG,,95,20.0,99,20.0,12645
1018605,95,21.0,CFG,,77,16.0,82,17.0,12645
1018606,95,12.0,CFG,,94,20.0,82,17.0,12645
1018607,109,79.0,CFG,,49,10.0,51,10.0,12645
1018608,76,8.0,CFG,,61,13.0,72,14.0,12645
1018609,92,52.0,CFG,,63,13.0,64,13.0,12645
1018610,111,112.0,CFG,,42,10.0,43,10.0,12645
1018611,102,105.0,CFG,,130,32.0,131,32.0,12645
1018612,100,81.0,CFG,,87,19.0,89,19.0,12645
1018613,90,53.0,CFG,,59,12.0,60,12.0,12645
1018614,85,0.0,CFG,,102,24.0,104,29.0,12645
1018615,106,87.0,CFG,,68,13.0,69,13.0,12645
1018616,70,23.0,CFG,,135,35.0,137,1.0,12645
1018617,38,77.0,CFG,,73,14.0,71,14.0,12645
1018618,55,91.0,CFG,,109,29.0,107,29.0,12645
1018619,45,78.0,CFG,,50,10.0,48,10.0,12645
1018620,36,72.0,CFG,,88,19.0,86,19.0,12645
1018621,30,67.0,CFG,,129,32.0,127,32.0,12645
1018622,40,75.0,CFG,,67,13.0,65,13.0,12645
1018623,14,33.0,CFG,,17,5.0,15,5.0,12645
1018624,21,96.0,CFG,,79,16.0,77,16.0,12645
1018625,88,32.0,CFG,,81,17.0,101,23.0,12645
1018626,0,88.0,CFG,,101,23.0,102,24.0,12645
1018627,2,3.0,CFG,,105,29.0,103,29.0,12645
1018628,13,37.0,CFG,,134,33.0,132,33.0,12645
1018629,23,69.0,CFG,,136,35.0,135,35.0,12645
1018630,4,7.0,CFG,,24,9.0,21,9.0,12645
1018631,56,61.0,CFG,,23,9.0,22,9.0,12645
1018632,7,15.0,CFG,,27,9.0,24,9.0,12645
1018633,19,50.0,CFG,,35,9.0,34,9.0,12645
1018634,39,51.0,CFG,,38,9.0,37,9.0,12645
1018635,6,17.0,CFG,,36,9.0,33,9.0,12645
1018636,17,39.0,CFG,,37,9.0,36,9.0,12645
1018637,5,6.0,CFG,,33,9.0,31,9.0,12645
1018638,18,48.0,CFG,,26,9.0,25,9.0,12645
1018639,15,43.0,CFG,,28,9.0,27,9.0,12645
1018640,25,90.0,CFG,,60,12.0,58,12.0,12645
1018641,27,97.0,CFG,,93,19.0,91,19.0,12645
1018642,26,104.0,CFG,,126,32.0,124,32.0,12645
1018643,22,84.0,CFG,,97,20.0,95,20.0,12645
1018644,24,92.0,CFG,,64,13.0,62,13.0,12645
1018645,43,47.0,CFG,,29,9.0,28,9.0,12645
1018646,11,44.0,CFG,,45,10.0,44,10.0,12645
1018647,11,45.0,CFG,,48,10.0,44,10.0,12645
1018648,73,107.0,CFG,,54,10.0,53,10.0,12645
1018649,58,111.0,CFG,,43,10.0,41,10.0,12645
1018650,44,62.0,CFG,,47,10.0,45,10.0,12645
1018651,77,93.0,CFG,,75,14.0,73,14.0,12645
1018652,16,25.0,CFG,,58,12.0,56,12.0,12645
1018653,75,106.0,CFG,,69,13.0,67,13.0,12645
1018654,8,40.0,CFG,,65,13.0,61,13.0,12645
1018655,20,80.0,CFG,,76,14.0,70,14.0,12645
1018656,78,108.0,CFG,,52,10.0,50,10.0,12645
1018657,32,64.0,CFG,,83,17.0,81,17.0,12645
1018658,12,63.0,CFG,,99,20.0,94,20.0,12645
