Unnamed: 0,dgl_id,_label,name,code,lineNumber,columnNumber,lineNumberEnd,columnNumberEnd,controlStructureType,order,fullName,typeFullName,local_type,local_block,node_label,node_id,vuln,graph_id
371243,6,CALL,<operator>.logicalOr,"BOUNDS( b0, CUR.zp0.n_points ) ||
         BOUNDS( b1, CUR.zp0.n_points ) ||
         BOUNDS( a0, CUR.zp1.n_points ) ||
         BOUNDS( a1, CUR.zp1.n_points )",24,10.0,,,,1.0,,<empty>,,,"CALL_24.0: BOUNDS( b0, CUR.zp0.n_points ) ||
         BOUNDS( b1, CUR.zp0.n_points ) ||
         BOUNDS( a0, CUR.zp1.n_points ) ||
         BOUNDS( a1, CUR.zp1.n_points )",50,0.0,5398
371244,7,CALL,<operator>.addition,"CUR.zp1.cur_x[a0] +
                               CUR.zp1.cur_x[a1] +
                               CUR.zp0.cur_x[b0]",61,32.0,,,,1.0,,<empty>,,,"CALL_61.0: CUR.zp1.cur_x[a0] +
                               CUR.zp1.cur_x[a1] +
                               CUR.zp0.cur_x[b0]",295,0.0,5398
371245,8,CALL,<operator>.addition,"CUR.zp1.cur_y[a0] +
                               CUR.zp1.cur_y[a1] +
                               CUR.zp0.cur_y[b0]",65,32.0,,,,1.0,,<empty>,,,"CALL_65.0: CUR.zp1.cur_y[a0] +
                               CUR.zp1.cur_y[a1] +
                               CUR.zp0.cur_y[b0]",336,0.0,5398
371246,9,CALL,<operator>.logicalOr,"BOUNDS( b0, CUR.zp0.n_points ) ||
         BOUNDS( b1, CUR.zp0.n_points ) ||
         BOUNDS( a0, CUR.zp1.n_points )",24,10.0,,,,1.0,,<empty>,,,"CALL_24.0: BOUNDS( b0, CUR.zp0.n_points ) ||
         BOUNDS( b1, CUR.zp0.n_points ) ||
         BOUNDS( a0, CUR.zp1.n_points )",51,0.0,5398
371247,10,CALL,<operator>.assignment,"discriminant = MulDiv_Round( dax, -dby, 0x40L ) +
                   MulDiv_Round( day, dbx, 0x40L )",44,5.0,,,,28.0,,<empty>,,,"CALL_44.0: discriminant = MulDiv_Round( dax, -dby, 0x40L ) +
                   MulDiv_Round( day, dbx, 0x40L )",199,0.0,5398
371248,11,CALL,<operator>.addition,"MulDiv_Round( dax, -dby, 0x40L ) +
                   MulDiv_Round( day, dbx, 0x40L )",44,20.0,,,,2.0,,<empty>,,,"CALL_44.0: MulDiv_Round( dax, -dby, 0x40L ) +
                   MulDiv_Round( day, dbx, 0x40L )",201,0.0,5398
371249,12,CALL,<operator>.logicalOr,"BOUNDS( b0, CUR.zp0.n_points ) ||
         BOUNDS( b1, CUR.zp0.n_points )",24,10.0,,,,1.0,,<empty>,,,"CALL_24.0: BOUNDS( b0, CUR.zp0.n_points ) ||
         BOUNDS( b1, CUR.zp0.n_points )",52,0.0,5398
371250,13,CALL,<operator>.assignment,"val = MulDiv_Round( dx, -dby, 0x40L ) + MulDiv_Round( dy, dbx, 0x40L )",49,7.0,,,,1.0,,<empty>,,,"CALL_49.0: val = MulDiv_Round( dx, -dby, 0x40L ) + MulDiv_Round( dy, dbx, 0x40L )",217,0.0,5398
371251,14,CALL,<operator>.addition,"CUR.zp1.cur_x[a0] +
                               CUR.zp1.cur_x[a1]",61,32.0,,,,1.0,,<empty>,,,"CALL_61.0: CUR.zp1.cur_x[a0] +
                               CUR.zp1.cur_x[a1]",296,0.0,5398
371252,15,CALL,<operator>.addition,"CUR.zp1.cur_y[a0] +
                               CUR.zp1.cur_y[a1]",65,32.0,,,,1.0,,<empty>,,,"CALL_65.0: CUR.zp1.cur_y[a0] +
                               CUR.zp1.cur_y[a1]",337,0.0,5398
371253,16,CALL,<operator>.addition,"MulDiv_Round( dx, -dby, 0x40L ) + MulDiv_Round( dy, dbx, 0x40L )",49,13.0,,,,2.0,,<empty>,,,"CALL_49.0: MulDiv_Round( dx, -dby, 0x40L ) + MulDiv_Round( dy, dbx, 0x40L )",219,0.0,5398
371254,17,CALL,<operator>.assignment,CUR.zp2.cur_y[point] = CUR.zp1.cur_y[a0] + R.y,55,7.0,,,,5.0,,<empty>,,,CALL_55.0: CUR.zp2.cur_y[point] = CUR.zp1.cur_y[a0] + R.y,264,0.0,5398
371255,18,CALL,<operator>.assignment,CUR.zp2.cur_x[point] = CUR.zp1.cur_x[a0] + R.x,54,7.0,,,,4.0,,<empty>,,,CALL_54.0: CUR.zp2.cur_x[point] = CUR.zp1.cur_x[a0] + R.x,245,0.0,5398
371256,19,CALL,<operator>.assignment,"R.x = MulDiv_Round( val, dax, discriminant )",51,7.0,,,,2.0,,<empty>,,,"CALL_51.0: R.x = MulDiv_Round( val, dax, discriminant )",229,0.0,5398
371257,20,CALL,<operators>.assignmentOr,CUR.zp2.touch[point] |= TT_Flag_Touched_Both,42,5.0,,,,27.0,,<empty>,,,CALL_42.0: CUR.zp2.touch[point] |= TT_Flag_Touched_Both,190,0.0,5398
371258,21,CALL,<operator>.assignment,"R.y = MulDiv_Round( val, day, discriminant )",52,7.0,,,,3.0,,<empty>,,,"CALL_52.0: R.y = MulDiv_Round( val, day, discriminant )",237,0.0,5398
371259,22,CALL,<operator>.assignment,dax = CUR.zp1.cur_x[a1] - CUR.zp1.cur_x[a0],36,5.0,,,,23.0,,<empty>,,,CALL_36.0: dax = CUR.zp1.cur_x[a1] - CUR.zp1.cur_x[a0],122,0.0,5398
371260,23,CALL,<operator>.assignment,dby = CUR.zp0.cur_y[b1] - CUR.zp0.cur_y[b0],34,5.0,,,,22.0,,<empty>,,,CALL_34.0: dby = CUR.zp0.cur_y[b1] - CUR.zp0.cur_y[b0],105,0.0,5398
371261,24,CALL,<operator>.assignment,day = CUR.zp1.cur_y[a1] - CUR.zp1.cur_y[a0],37,5.0,,,,24.0,,<empty>,,,CALL_37.0: day = CUR.zp1.cur_y[a1] - CUR.zp1.cur_y[a0],139,0.0,5398
371262,25,CALL,<operator>.assignment,dbx = CUR.zp0.cur_x[b1] - CUR.zp0.cur_x[b0],33,5.0,,,,21.0,,<empty>,,,CALL_33.0: dbx = CUR.zp0.cur_x[b1] - CUR.zp0.cur_x[b0],88,0.0,5398
371263,26,CALL,<operator>.assignment,dx = CUR.zp0.cur_x[b0] - CUR.zp1.cur_x[a0],39,5.0,,,,25.0,,<empty>,,,CALL_39.0: dx = CUR.zp0.cur_x[b0] - CUR.zp1.cur_x[a0],156,0.0,5398
371264,27,CALL,<operator>.assignment,dy = CUR.zp0.cur_y[b0] - CUR.zp1.cur_y[a0],40,5.0,,,,26.0,,<empty>,,,CALL_40.0: dy = CUR.zp0.cur_y[b0] - CUR.zp1.cur_y[a0],173,0.0,5398
371265,28,CALL,MulDiv_Round,"MulDiv_Round( val, day, discriminant )",52,13.0,,,,2.0,,<empty>,,,"CALL_52.0: MulDiv_Round( val, day, discriminant )",241,0.0,5398
371266,29,CALL,MulDiv_Round,"MulDiv_Round( val, dax, discriminant )",51,13.0,,,,2.0,,<empty>,,,"CALL_51.0: MulDiv_Round( val, dax, discriminant )",233,0.0,5398
371267,30,CALL,<operator>.subtraction,CUR.zp0.cur_y[b1] - CUR.zp0.cur_y[b0],34,11.0,,,,2.0,,<empty>,,,CALL_34.0: CUR.zp0.cur_y[b1] - CUR.zp0.cur_y[b0],107,0.0,5398
371268,31,CALL,<operator>.subtraction,CUR.zp0.cur_x[b1] - CUR.zp0.cur_x[b0],33,11.0,,,,2.0,,<empty>,,,CALL_33.0: CUR.zp0.cur_x[b1] - CUR.zp0.cur_x[b0],90,0.0,5398
371269,32,CALL,<operator>.subtraction,CUR.zp0.cur_y[b0] - CUR.zp1.cur_y[a0],40,10.0,,,,2.0,,<empty>,,,CALL_40.0: CUR.zp0.cur_y[b0] - CUR.zp1.cur_y[a0],175,0.0,5398
371270,33,CALL,<operator>.subtraction,CUR.zp0.cur_x[b0] - CUR.zp1.cur_x[a0],39,10.0,,,,2.0,,<empty>,,,CALL_39.0: CUR.zp0.cur_x[b0] - CUR.zp1.cur_x[a0],158,0.0,5398
371271,34,CALL,<operator>.subtraction,CUR.zp1.cur_y[a1] - CUR.zp1.cur_y[a0],37,11.0,,,,2.0,,<empty>,,,CALL_37.0: CUR.zp1.cur_y[a1] - CUR.zp1.cur_y[a0],141,0.0,5398
371272,35,CALL,<operator>.subtraction,CUR.zp1.cur_x[a1] - CUR.zp1.cur_x[a0],36,11.0,,,,2.0,,<empty>,,,CALL_36.0: CUR.zp1.cur_x[a1] - CUR.zp1.cur_x[a0],124,0.0,5398
371273,36,CALL,<operator>.assignment,CUR.error = TT_Err_Invalid_Reference,29,7.0,,,,1.0,,<empty>,,,CALL_29.0: CUR.error = TT_Err_Invalid_Reference,82,0.0,5398
371274,37,CALL,MulDiv_Round,"MulDiv_Round( dax, -dby, 0x40L )",44,20.0,,,,1.0,,<empty>,,,"CALL_44.0: MulDiv_Round( dax, -dby, 0x40L )",202,0.0,5398
371275,38,CALL,MulDiv_Round,"MulDiv_Round( day, dbx, 0x40L )",45,20.0,,,,2.0,,<empty>,,,"CALL_45.0: MulDiv_Round( day, dbx, 0x40L )",207,0.0,5398
371276,39,CALL,MulDiv_Round,"MulDiv_Round( dx, -dby, 0x40L )",49,13.0,,,,1.0,,<empty>,,,"CALL_49.0: MulDiv_Round( dx, -dby, 0x40L )",220,0.0,5398
371277,40,CALL,MulDiv_Round,"MulDiv_Round( dy, dbx, 0x40L )",49,47.0,,,,2.0,,<empty>,,,"CALL_49.0: MulDiv_Round( dy, dbx, 0x40L )",225,0.0,5398
371278,41,CALL,BOUNDS,"BOUNDS( b0, CUR.zp0.n_points )",24,10.0,,,,1.0,,<empty>,,,"CALL_24.0: BOUNDS( b0, CUR.zp0.n_points )",53,0.0,5398
371279,42,CALL,BOUNDS,"BOUNDS( b1, CUR.zp0.n_points )",25,10.0,,,,2.0,,<empty>,,,"CALL_25.0: BOUNDS( b1, CUR.zp0.n_points )",60,0.0,5398
371280,43,CALL,BOUNDS,"BOUNDS( a1, CUR.zp1.n_points )",27,10.0,,,,2.0,,<empty>,,,"CALL_27.0: BOUNDS( a1, CUR.zp1.n_points )",74,0.0,5398
371281,44,CALL,BOUNDS,"BOUNDS( a0, CUR.zp1.n_points )",26,10.0,,,,2.0,,<empty>,,,"CALL_26.0: BOUNDS( a0, CUR.zp1.n_points )",67,0.0,5398
371282,45,CALL,<operator>.greaterEqualsThan,ABS( discriminant ) >= 0x40,47,10.0,,,,1.0,,<empty>,,,CALL_47.0: ABS( discriminant ) >= 0x40,212,0.0,5398
371283,46,METHOD,Ins_ISECT,void Ins_ISECT (INS_ARG),1,3.0,70.0,3.0,,1.0,Ins_ISECT,,,,METHOD_1.0: void Ins_ISECT (INS_ARG),7,0.0,5398
371284,47,IDENTIFIER,TT_Err_Invalid_Reference,TT_Err_Invalid_Reference,29,19.0,,,,2.0,,ANY,,,IDENTIFIER_29.0: TT_Err_Invalid_Reference,86,0.0,5398
371285,48,CALL,<operator>.addition,CUR.zp1.cur_y[a0] + R.y,55,30.0,,,,2.0,,<empty>,,,CALL_55.0: CUR.zp1.cur_y[a0] + R.y,272,0.0,5398
371286,49,CALL,<operator>.addition,CUR.zp1.cur_x[a0] + R.x,54,30.0,,,,2.0,,<empty>,,,CALL_54.0: CUR.zp1.cur_x[a0] + R.x,253,0.0,5398
371287,50,CALL,<operator>.indirectIndexAccess,CUR.zp2.cur_y[point],55,7.0,,,,1.0,,<empty>,,,CALL_55.0: CUR.zp2.cur_y[point],265,0.0,5398
371288,51,CALL,<operator>.indirectIndexAccess,CUR.zp2.cur_y[point],65,7.0,,,,1.0,,<empty>,,,CALL_65.0: CUR.zp2.cur_y[point],327,0.0,5398
371289,52,CALL,<operator>.indirectIndexAccess,CUR.zp2.touch[point],42,5.0,,,,1.0,,<empty>,,,CALL_42.0: CUR.zp2.touch[point],191,0.0,5398
371290,53,CALL,<operator>.indirectIndexAccess,CUR.zp2.cur_x[point],61,7.0,,,,1.0,,<empty>,,,CALL_61.0: CUR.zp2.cur_x[point],286,0.0,5398
371291,54,IDENTIFIER,TT_Flag_Touched_Both,TT_Flag_Touched_Both,42,29.0,,,,2.0,,ANY,,,IDENTIFIER_42.0: TT_Flag_Touched_Both,198,0.0,5398
371292,55,CALL,<operator>.indirectIndexAccess,CUR.zp2.cur_x[point],54,7.0,,,,1.0,,<empty>,,,CALL_54.0: CUR.zp2.cur_x[point],246,0.0,5398
371293,56,CALL,ABS,ABS( discriminant ),47,10.0,,,,1.0,,<empty>,,,CALL_47.0: ABS( discriminant ),213,0.0,5398
371294,57,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_y[b1],68,32.0,,,,2.0,,<empty>,,,CALL_68.0: CUR.zp1.cur_y[b1],359,0.0,5398
371295,58,CALL,<operator>.indirectIndexAccess,CUR.zp0.cur_y[b1],34,11.0,,,,1.0,,<empty>,,,CALL_34.0: CUR.zp0.cur_y[b1],108,0.0,5398
371296,59,CALL,<operator>.indirectIndexAccess,CUR.zp0.cur_y[b0],40,10.0,,,,1.0,,<empty>,,,CALL_40.0: CUR.zp0.cur_y[b0],176,0.0,5398
371297,60,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_y[a0],65,32.0,,,,1.0,,<empty>,,,CALL_65.0: CUR.zp1.cur_y[a0],338,0.0,5398
371298,61,CALL,<operator>.indirectIndexAccess,CUR.zp0.cur_x[b1],33,11.0,,,,1.0,,<empty>,,,CALL_33.0: CUR.zp0.cur_x[b1],91,0.0,5398
371299,62,CALL,<operator>.indirectIndexAccess,CUR.zp0.cur_y[b0],34,31.0,,,,2.0,,<empty>,,,CALL_34.0: CUR.zp0.cur_y[b0],115,0.0,5398
371300,63,CALL,<operator>.indirectIndexAccess,CUR.zp0.cur_x[b0],39,10.0,,,,1.0,,<empty>,,,CALL_39.0: CUR.zp0.cur_x[b0],159,0.0,5398
371301,64,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_x[a1],36,11.0,,,,1.0,,<empty>,,,CALL_36.0: CUR.zp1.cur_x[a1],125,0.0,5398
371302,65,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_y[a0],37,31.0,,,,2.0,,<empty>,,,CALL_37.0: CUR.zp1.cur_y[a0],149,0.0,5398
371303,66,CALL,<operator>.indirectIndexAccess,CUR.zp0.cur_y[b0],67,32.0,,,,2.0,,<empty>,,,CALL_67.0: CUR.zp0.cur_y[b0],352,0.0,5398
371304,67,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_y[a0],40,30.0,,,,2.0,,<empty>,,,CALL_40.0: CUR.zp1.cur_y[a0],183,0.0,5398
371305,68,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_y[a1],37,11.0,,,,1.0,,<empty>,,,CALL_37.0: CUR.zp1.cur_y[a1],142,0.0,5398
371306,69,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_x[a0],36,31.0,,,,2.0,,<empty>,,,CALL_36.0: CUR.zp1.cur_x[a0],132,0.0,5398
371307,70,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_x[a0],39,30.0,,,,2.0,,<empty>,,,CALL_39.0: CUR.zp1.cur_x[a0],166,0.0,5398
371308,71,CALL,<operator>.indirectIndexAccess,CUR.zp0.cur_x[b0],33,31.0,,,,2.0,,<empty>,,,CALL_33.0: CUR.zp0.cur_x[b0],98,0.0,5398
371309,72,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_y[a1],66,32.0,,,,2.0,,<empty>,,,CALL_66.0: CUR.zp1.cur_y[a1],345,0.0,5398
371310,73,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_x[a0],61,32.0,,,,1.0,,<empty>,,,CALL_61.0: CUR.zp1.cur_x[a0],297,0.0,5398
371311,74,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_x[b1],64,32.0,,,,2.0,,<empty>,,,CALL_64.0: CUR.zp1.cur_x[b1],318,0.0,5398
371312,75,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_x[a0],54,30.0,,,,1.0,,<empty>,,,CALL_54.0: CUR.zp1.cur_x[a0],254,0.0,5398
371313,76,CALL,<operator>.indirectIndexAccess,CUR.zp0.cur_x[b0],63,32.0,,,,2.0,,<empty>,,,CALL_63.0: CUR.zp0.cur_x[b0],311,0.0,5398
371314,77,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_y[a0],55,30.0,,,,1.0,,<empty>,,,CALL_55.0: CUR.zp1.cur_y[a0],273,0.0,5398
371315,78,CALL,<operator>.indirectIndexAccess,CUR.zp1.cur_x[a1],62,32.0,,,,2.0,,<empty>,,,CALL_62.0: CUR.zp1.cur_x[a1],304,0.0,5398
371316,79,CALL,<operator>.fieldAccess,CUR.zp0.n_points,25,22.0,,,,2.0,,<empty>,,,CALL_25.0: CUR.zp0.n_points,62,0.0,5398
371317,80,CALL,<operator>.fieldAccess,CUR.zp1.n_points,26,22.0,,,,2.0,,<empty>,,,CALL_26.0: CUR.zp1.n_points,69,0.0,5398
371318,81,CALL,<operator>.fieldAccess,CUR.zp0.n_points,24,22.0,,,,2.0,,<empty>,,,CALL_24.0: CUR.zp0.n_points,55,0.0,5398
371319,82,CALL,<operator>.fieldAccess,CUR.zp1.n_points,27,22.0,,,,2.0,,<empty>,,,CALL_27.0: CUR.zp1.n_points,76,0.0,5398
371320,83,CALL,<operator>.assignment,point = args[0],17,5.0,,,,15.0,,<empty>,,,CALL_17.0: point = args[0],24,0.0,5398
371321,84,CALL,<operator>.fieldAccess,CUR.zp0.cur_x,39,10.0,,,,1.0,,<empty>,,,CALL_39.0: CUR.zp0.cur_x,160,0.0,5398
371322,85,CALL,<operator>.fieldAccess,CUR.zp1.cur_y,65,32.0,,,,1.0,,<empty>,,,CALL_65.0: CUR.zp1.cur_y,339,0.0,5398
371323,86,CALL,<operator>.fieldAccess,CUR.zp2.touch,42,5.0,,,,1.0,,<empty>,,,CALL_42.0: CUR.zp2.touch,192,0.0,5398
371324,87,CALL,<operator>.fieldAccess,CUR.zp1.cur_y,37,31.0,,,,1.0,,<empty>,,,CALL_37.0: CUR.zp1.cur_y,150,0.0,5398
371325,88,CALL,<operator>.fieldAccess,CUR.zp0.cur_y,34,31.0,,,,1.0,,<empty>,,,CALL_34.0: CUR.zp0.cur_y,116,0.0,5398
371326,89,CALL,<operator>.fieldAccess,CUR.zp0.cur_y,67,32.0,,,,1.0,,<empty>,,,CALL_67.0: CUR.zp0.cur_y,353,0.0,5398
371327,90,CALL,<operator>.fieldAccess,CUR.zp1.cur_y,37,11.0,,,,1.0,,<empty>,,,CALL_37.0: CUR.zp1.cur_y,143,0.0,5398
371328,91,CALL,<operator>.fieldAccess,CUR.zp1.cur_y,55,30.0,,,,1.0,,<empty>,,,CALL_55.0: CUR.zp1.cur_y,274,0.0,5398
371329,92,CALL,<operator>.fieldAccess,CUR.zp1.cur_x,36,31.0,,,,1.0,,<empty>,,,CALL_36.0: CUR.zp1.cur_x,133,0.0,5398
371330,93,CALL,<operator>.fieldAccess,CUR.zp2.cur_x,61,7.0,,,,1.0,,<empty>,,,CALL_61.0: CUR.zp2.cur_x,287,0.0,5398
371331,94,CALL,<operator>.fieldAccess,CUR.zp1.cur_x,36,11.0,,,,1.0,,<empty>,,,CALL_36.0: CUR.zp1.cur_x,126,0.0,5398
371332,95,CALL,<operator>.fieldAccess,CUR.zp1.cur_y,68,32.0,,,,1.0,,<empty>,,,CALL_68.0: CUR.zp1.cur_y,360,0.0,5398
371333,96,CALL,<operator>.fieldAccess,CUR.zp2.cur_y,55,7.0,,,,1.0,,<empty>,,,CALL_55.0: CUR.zp2.cur_y,266,0.0,5398
371334,97,CALL,<operator>.fieldAccess,CUR.zp1.cur_x,61,32.0,,,,1.0,,<empty>,,,CALL_61.0: CUR.zp1.cur_x,298,0.0,5398
371335,98,CALL,<operator>.fieldAccess,CUR.zp1.cur_y,40,30.0,,,,1.0,,<empty>,,,CALL_40.0: CUR.zp1.cur_y,184,0.0,5398
371336,99,CALL,<operator>.fieldAccess,CUR.zp0.cur_x,33,11.0,,,,1.0,,<empty>,,,CALL_33.0: CUR.zp0.cur_x,92,0.0,5398
371337,100,CALL,<operator>.fieldAccess,CUR.zp1.cur_x,64,32.0,,,,1.0,,<empty>,,,CALL_64.0: CUR.zp1.cur_x,319,0.0,5398
371338,101,CALL,<operator>.fieldAccess,CUR.zp0.cur_y,40,10.0,,,,1.0,,<empty>,,,CALL_40.0: CUR.zp0.cur_y,177,0.0,5398
371339,102,CALL,<operator>.fieldAccess,CUR.zp0.cur_x,63,32.0,,,,1.0,,<empty>,,,CALL_63.0: CUR.zp0.cur_x,312,0.0,5398
371340,103,CALL,<operator>.fieldAccess,CUR.zp0.cur_x,33,31.0,,,,1.0,,<empty>,,,CALL_33.0: CUR.zp0.cur_x,99,0.0,5398
371341,104,CALL,<operator>.fieldAccess,CUR.zp1.cur_y,66,32.0,,,,1.0,,<empty>,,,CALL_66.0: CUR.zp1.cur_y,346,0.0,5398
371342,105,CALL,<operator>.fieldAccess,CUR.zp1.cur_x,62,32.0,,,,1.0,,<empty>,,,CALL_62.0: CUR.zp1.cur_x,305,0.0,5398
371343,106,CALL,<operator>.fieldAccess,CUR.zp1.cur_x,39,30.0,,,,1.0,,<empty>,,,CALL_39.0: CUR.zp1.cur_x,167,0.0,5398
371344,107,CALL,<operator>.fieldAccess,CUR.zp2.cur_x,54,7.0,,,,1.0,,<empty>,,,CALL_54.0: CUR.zp2.cur_x,247,0.0,5398
371345,108,CALL,<operator>.fieldAccess,CUR.zp1.cur_x,54,30.0,,,,1.0,,<empty>,,,CALL_54.0: CUR.zp1.cur_x,255,0.0,5398
